city,cloudiness,country,date,humidity,lat,lng,max_Temp,wind_Speed
bereda,75,ES,09-01-2019,72,43.27,-7.54,18.0,5.7
luderitz,0,NA,09-01-2019,63,-26.65,15.16,16.0,2.6
lebu,100,ET,09-01-2019,86,8.96,38.73,14.15,0.85
gap,80,FR,09-01-2019,64,44.56,6.08,18.05,2.12
butaritari,51,KI,09-01-2019,76,3.07,172.79,28.85,7.5
mogila,5,BG,09-01-2019,36,42.5,26.6,26.0,5.1
sidrolandia,75,BR,09-01-2019,88,-20.93,-54.96,23.0,4.1
codrington,90,AU,09-01-2019,100,-28.95,153.24,12.22,3.6
norman wells,90,CA,09-01-2019,81,65.28,-126.83,8.0,2.6
jamestown,0,AU,09-01-2019,64,-33.21,138.6,7.25,3.0
swan hill,0,AU,09-01-2019,95,-35.34,143.56,5.25,2.28
juneau,20,US,09-01-2019,51,58.3,-134.42,17.0,2.1
mar del plata,72,AR,09-01-2019,45,-46.43,-67.52,5.75,7.1
malayal,90,PH,09-01-2019,94,7.21,121.94,25.0,1.0
katsuura,20,JP,09-01-2019,94,33.93,134.5,23.0,4.6
pingliang,36,CN,09-01-2019,96,35.54,106.68,10.65,1.51
victoria,75,BN,09-01-2019,83,5.28,115.24,28.0,1.0
geneva,75,FR,09-01-2019,56,46.2,6.15,23.33,3.6
pevek,91,RU,09-01-2019,78,69.7,170.27,3.25,2.02
severo-kurilsk,100,RU,09-01-2019,95,50.68,156.12,9.85,4.67
launceston,90,AU,09-01-2019,93,-41.43,147.14,8.0,2.1
atuona,1,PF,09-01-2019,72,-9.8,-139.03,25.95,7.47
san lazaro,75,BZ,09-01-2019,66,18.04,-88.66,32.0,4.1
yellowknife,75,CA,09-01-2019,70,62.45,-114.38,10.56,1.0
cape town,20,ZA,09-01-2019,76,-33.93,18.42,15.0,2.1
elko,1,US,09-01-2019,17,40.83,-115.76,35.0,1.5
nikolskoye,0,RU,09-01-2019,68,59.7,30.79,20.0,2.0
baruun-urt,0,MN,09-01-2019,73,46.68,113.28,13.45,2.24
kahului,75,US,09-01-2019,74,20.89,-156.47,28.89,5.7
